rssd_id,bank_name,ndfi_loans_total,ndfi_loans_total_usd
852218,,187155000.0,187155000000.0
451965,,164785000.0,164785000000.0
480228,,151343000.0,151343000000.0
2182786,,107264000.0,107264000000.0
476810,,71894000.0,71894000000.0
1456501,,68423000.0,68423000000.0
817824,,61878443.0,61878443000.0
504713,,45063016.0,45063016000.0
852320,,36485000.0,36485000000.0
112837,,35923735.0,35923735000.0
491224,,33590000.0,33590000000.0
35301,,25476000.0,25476000000.0
280110,,18205204.0,18205204000.0
75633,,17518459.0,17518459000.0
3303298,,17343753.0,17343753000.0
3138146,,13577407.0,13577407000.0
2735146,,13378913.0,13378913000.0
501105,,11859702.0,11859702000.0
12311,,11523007.0,11523007000.0
233031,,11519000.0,11519000000.0
723112,,10249000.0,10249000000.0
497404,,9974010.0,9974010000.0
2618780,,8711993.0,8711993000.0
2917317,,8421485.0,8421485000.0
413208,,8011328.0,8011328000.0
485559,,7776222.0,7776222000.0
63069,,7682768.0,7682768000.0
1842065,,7666168.0,7666168000.0
963945,,6299833.0,6299833000.0
541101,,6293000.0,6293000000.0
197478,,6150942.0,6150942000.0
761806,,6119904.0,6119904000.0
3212149,,5797314.0,5797314000.0
2354985,,5746681.0,5746681000.0
2489805,,5607000.0,5607000000.0
395238,,5240648.0,5240648000.0
3284070,,4336000.0,4336000000.0
494261,,4333899.0,4333899000.0
210434,,4040425.0,4040425000.0
2193616,,3636118.0,3636118000.0
2737980,,3364886.0,3364886000.0
249612,,2946586.0,2946586000.0
917742,,2925734.0,2925734000.0
60143,,2672000.0,2672000000.0
107244,,2586860.0,2586860000.0
694904,,2368122.0,2368122000.0
3221468,,2182608.0,2182608000.0
936855,,2139192.0,2139192000.0
276579,,2036966.0,2036966000.0
3938186,,1974368.0,1974368000.0
652874,,1837722.0,1837722000.0
3187630,,1797024.0,1797024000.0
664756,,1668477.0,1668477000.0
229913,,1641721.0,1641721000.0
783648,,1604721.0,1604721000.0
1394676,,1451279.0,1451279000.0
722777,,1441823.0,1441823000.0
3783313,,1381086.0,1381086000.0
814430,,1350603.0,1350603000.0
764030,,1284658.0,1284658000.0
2925666,,1246677.0,1246677000.0
766164,,1202445.0,1202445000.0
3475083,,1151914.0,1151914000.0
3637685,,908081.0,908081000.0
3650808,,871035.0,871035000.0
682563,,854282.0,854282000.0
229801,,803430.0,803430000.0
606046,,746169.0,746169000.0
934329,,702000.0,702000000.0
667757,,700701.0,700701000.0
1929247,,689066.0,689066000.0
671464,,654345.0,654345000.0
316840,,609992.0,609992000.0
1190476,,571920.0,571920000.0
137915,,561594.0,561594000.0
2119773,,543747.0,543747000.0
412751,,541017.0,541017000.0
128904,,538905.0,538905000.0
339858,,505766.0,505766000.0
143662,,495948.0,495948000.0
637451,,475834.0,475834000.0
379920,,471790.0,471790000.0
663245,,464143.0,464143000.0
662369,,452683.0,452683000.0
23504,,442366.0,442366000.0
529958,,441307.0,441307000.0
165628,,434142.0,434142000.0
2239288,,425901.0,425901000.0
320119,,423734.0,423734000.0
437914,,420830.0,420830000.0
3150447,,414000.0,414000000.0
463735,,407737.0,407737000.0
3325759,,389291.0,389291000.0
929352,,381557.0,381557000.0
214807,,371000.0,371000000.0
940311,,370000.0,370000000.0
474759,,369476.0,369476000.0
3076248,,350779.0,350779000.0
773247,,341345.0,341345000.0
595869,,314269.0,314269000.0
365325,,309993.0,309993000.0
1917301,,305493.0,305493000.0
601050,,295335.0,295335000.0
169653,,294590.0,294590000.0
85472,,293911.0,293911000.0
204004,,292396.0,292396000.0
342634,,292209.0,292209000.0
749242,,275672.0,275672000.0
2938198,,272306.0,272306000.0
408642,,266264.0,266264000.0
489623,,260831.0,260831000.0
779650,,257631.0,257631000.0
375502,,252208.0,252208000.0
693224,,249394.0,249394000.0
657365,,248995.0,248995000.0
510871,,226478.0,226478000.0
3579589,,226337.0,226337000.0
129732,,221280.0,221280000.0
384278,,200115.0,200115000.0
245276,,194070.0,194070000.0
2298995,,183918.0,183918000.0
171768,,174146.0,174146000.0
980661,,167237.0,167237000.0
930358,,167206.0,167206000.0
83638,,164974.0,164974000.0
3408728,,164457.0,164457000.0
980960,,160027.0,160027000.0
2652092,,153416.0,153416000.0
811046,,150524.0,150524000.0
725732,,148615.0,148615000.0
936426,,148044.0,148044000.0
208244,,144374.0,144374000.0
474919,,139781.0,139781000.0
428547,,138718.0,138718000.0
663834,,129737.0,129737000.0
965789,,129306.0,129306000.0
384652,,129109.0,129109000.0
977250,,128810.0,128810000.0
3212402,,126389.0,126389000.0
450856,,124052.0,124052000.0
2693264,,121963.0,121963000.0
3202702,,120000.0,120000000.0
2797724,,119204.0,119204000.0
353555,,106184.0,106184000.0
3357219,,104516.0,104516000.0
416245,,102909.0,102909000.0
3401970,,101805.0,101805000.0
3016347,,101750.0,101750000.0
527954,,97954.0,97954000.0
9357,,97724.0,97724000.0
3216017,,97563.0,97563000.0
2316714,,96293.0,96293000.0
2634351,,95782.0,95782000.0
2736219,,94651.0,94651000.0
595430,,93235.0,93235000.0
426534,,93138.0,93138000.0
2044811,,92884.0,92884000.0
1718469,,91979.0,91979000.0
2142155,,86001.0,86001000.0
795968,,85023.0,85023000.0
734538,,84620.0,84620000.0
853952,,81525.0,81525000.0
141556,,80973.0,80973000.0
1447639,,78161.0,78161000.0
3214059,,76666.0,76666000.0
1216022,,75000.0,75000000.0
2736291,,74009.0,74009000.0
34537,,73958.0,73958000.0
3344321,,72442.0,72442000.0
3348888,,71630.0,71630000.0
930965,,71275.0,71275000.0
77851,,68440.0,68440000.0
2508751,,68134.0,68134000.0
933621,,67711.0,67711000.0
531250,,67072.0,67072000.0
3402913,,67046.0,67046000.0
660655,,66729.0,66729000.0
498362,,66649.0,66649000.0
2339795,,66376.0,66376000.0
474254,,66120.0,66120000.0
2624400,,64233.0,64233000.0
918918,,63271.0,63271000.0
3630323,,62918.0,62918000.0
3076220,,62768.0,62768000.0
538802,,61055.0,61055000.0
140362,,61051.0,61051000.0
871769,,60573.0,60573000.0
3465392,,60002.0,60002000.0
913856,,57509.0,57509000.0
470050,,55025.0,55025000.0
17147,,53948.0,53948000.0
3690121,,53383.0,53383000.0
31255,,52901.0,52901000.0
26765,,51774.0,51774000.0
2970657,,51481.0,51481000.0
593052,,51039.0,51039000.0
403151,,50445.0,50445000.0
3404207,,50065.0,50065000.0
509950,,49768.0,49768000.0
137652,,48945.0,48945000.0
435750,,47683.0,47683000.0
482156,,47636.0,47636000.0
936462,,47391.0,47391000.0
188430,,46079.0,46079000.0
311845,,45000.0,45000000.0
317342,,44430.0,44430000.0
656377,,43760.0,43760000.0
710859,,43592.0,43592000.0
522605,,43130.0,43130000.0
509811,,42877.0,42877000.0
3470154,,42805.0,42805000.0
2121196,,40179.0,40179000.0
1002878,,40000.0,40000000.0
722544,,39344.0,39344000.0
369659,,37802.0,37802000.0
408875,,36644.0,36644000.0
456045,,36159.0,36159000.0
3248849,,35415.0,35415000.0
698144,,34854.0,34854000.0
703552,,34400.0,34400000.0
272272,,34270.0,34270000.0
69333,,33653.0,33653000.0
2838207,,33548.0,33548000.0
422433,,33467.0,33467000.0
130541,,32242.0,32242000.0
2808602,,31808.0,31808000.0
557858,,30665.0,30665000.0
113740,,29912.0,29912000.0
594853,,29807.0,29807000.0
677644,,29803.0,29803000.0
1018927,,29565.0,29565000.0
2631846,,28656.0,28656000.0
575254,,28636.0,28636000.0
525549,,28088.0,28088000.0
2891622,,27370.0,27370000.0
391418,,26963.0,26963000.0
1218446,,26645.0,26645000.0
407506,,26146.0,26146000.0
632858,,25157.0,25157000.0
528849,,24591.0,24591000.0
293053,,24416.0,24416000.0
3688043,,24398.0,24398000.0
859655,,23988.0,23988000.0
732758,,23878.0,23878000.0
436159,,23580.0,23580000.0
242976,,23322.0,23322000.0
202907,,22841.0,22841000.0
867632,,22822.0,22822000.0
881478,,22683.0,22683000.0
58971,,22481.0,22481000.0
840363,,22181.0,22181000.0
726953,,22028.0,22028000.0
806958,,21851.0,21851000.0
540551,,21500.0,21500000.0
852704,,20598.0,20598000.0
160959,,20410.0,20410000.0
2855866,,20103.0,20103000.0
74140,,20100.0,20100000.0
1436204,,19246.0,19246000.0
207050,,19211.0,19211000.0
859552,,19083.0,19083000.0
775456,,18792.0,18792000.0
600419,,18753.0,18753000.0
3224375,,18235.0,18235000.0
978118,,18220.0,18220000.0
3690635,,18188.0,18188000.0
595270,,17478.0,17478000.0
176464,,17195.0,17195000.0
3437148,,17049.0,17049000.0
418249,,16773.0,16773000.0
3317932,,16663.0,16663000.0
309655,,16553.0,16553000.0
2743244,,16462.0,16462000.0
645625,,16403.0,16403000.0
836843,,16006.0,16006000.0
2815879,,15987.0,15987000.0
473266,,15500.0,15500000.0
499453,,15352.0,15352000.0
933023,,15023.0,15023000.0
45551,,15000.0,15000000.0
3545258,,14980.0,14980000.0
279954,,14910.0,14910000.0
762447,,14844.0,14844000.0
3146150,,14733.0,14733000.0
594947,,14721.0,14721000.0
58243,,14691.0,14691000.0
1187551,,14474.0,14474000.0
121651,,14200.0,14200000.0
276850,,13788.0,13788000.0
3293540,,13750.0,13750000.0
5382514,,13684.0,13684000.0
3029589,,13617.0,13617000.0
3588424,,12961.0,12961000.0
754853,,12845.0,12845000.0
825146,,12836.0,12836000.0
3398623,,12498.0,12498000.0
968070,,12235.0,12235000.0
2209553,,12065.0,12065000.0
892205,,12003.0,12003000.0
3459207,,12000.0,12000000.0
220844,,11998.0,11998000.0
3378773,,11519.0,11519000.0
3356191,,11389.0,11389000.0
939249,,11271.0,11271000.0
568359,,11216.0,11216000.0
3690701,,11200.0,11200000.0
2515320,,11121.0,11121000.0
2634191,,11022.0,11022000.0
403946,,11000.0,11000000.0
546003,,11000.0,11000000.0
556459,,10965.0,10965000.0
375043,,10911.0,10911000.0
779968,,10457.0,10457000.0
565750,,10097.0,10097000.0
2398701,,10021.0,10021000.0
724744,,9726.0,9726000.0
597313,,9461.0,9461000.0
2877345,,9319.0,9319000.0
2667957,,9000.0,9000000.0
1015252,,8865.0,8865000.0
1001648,,8550.0,8550000.0
498317,,8500.0,8500000.0
163857,,8421.0,8421000.0
5592340,,8287.0,8287000.0
497954,,8026.0,8026000.0
785473,,7985.0,7985000.0
552974,,7951.0,7951000.0
132107,,7923.0,7923000.0
236706,,7804.0,7804000.0
