rssd_id,ndfi_loans_total,ndfi_loans_total_usd,bank_name
451965,201617000.0,201617000000.0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
852218,195781000.0,195781000000.0,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
480228,157955000.0,157955000000.0,"BANK OF AMERICA, NATIONAL ASSOCIATION"
2182786,122334000.0,122334000000.0,GOLDMAN SACHS BANK USA
476810,79559000.0,79559000000.0,"CITIBANK, N.A."
1456501,78280000.0,78280000000.0,"MORGAN STANLEY BANK, N.A."
817824,72693957.0,72693957000.0,"PNC BANK, NATIONAL ASSOCIATION"
504713,50179492.0,50179492000.0,U.S. BANK NATIONAL ASSOCIATION
852320,39909000.0,39909000000.0,TRUIST BANK
491224,38780000.0,38780000000.0,FIRST-CITIZENS BANK & TRUST COMPANY
112837,37544000.0,37544000000.0,"CAPITAL ONE, NATIONAL ASSOCIATION"
35301,27878000.0,27878000000.0,STATE STREET BANK AND TRUST COMPANY
280110,20817165.0,20817165000.0,KEYBANK NATIONAL ASSOCIATION
3303298,19610625.0,19610625000.0,"CITIZENS BANK, NATIONAL ASSOCIATION"
75633,18266936.0,18266936000.0,BMO BANK NATIONAL ASSOCIATION
2735146,16436239.0,16436239000.0,"EVERBANK, NATIONAL ASSOCIATION"
12311,16368218.0,16368218000.0,"HUNTINGTON NATIONAL BANK, THE"
3138146,14927699.0,14927699000.0,WESTERN ALLIANCE BANK
501105,13283000.0,13283000000.0,MANUFACTURERS AND TRADERS TRUST COMPANY
723112,13127000.0,13127000000.0,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
233031,12831000.0,12831000000.0,REGIONS BANK
2618780,10099304.0,10099304000.0,TEXAS CAPITAL BANK
2917317,10073726.0,10073726000.0,AXOS BANK
497404,9702030.0,9702030000.0,"TD BANK, NATIONAL ASSOCIATION"
413208,9525981.0,9525981000.0,"HSBC BANK USA, NATIONAL ASSOCIATION"
485559,8729024.0,8729024000.0,FIRST HORIZON BANK
1842065,8606867.0,8606867000.0,CIBC BANK USA
63069,8553811.0,8553811000.0,CITY NATIONAL BANK
541101,8461000.0,8461000000.0,"BANK OF NEW YORK MELLON, THE"
963945,7872364.0,7872364000.0,MERCHANTS BANK OF INDIANA
761806,7478430.0,7478430000.0,"WEBSTER BANK, NATIONAL ASSOCIATION"
2925666,7254099.0,7254099000.0,PINNACLE BANK
197478,6677826.0,6677826000.0,EAST WEST BANK
2354985,6023028.0,6023028000.0,CUSTOMERS BANK
3212149,5745141.0,5745141000.0,"UBS BANK USA, NATIONAL ASSOCIATION"
3284070,5474000.0,5474000000.0,ALLY BANK
494261,5130594.0,5130594000.0,BANC OF CALIFORNIA
210434,5029002.0,5029002000.0,"NORTHERN TRUST COMPANY, THE"
2489805,4848000.0,4848000000.0,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION"
2737980,3860663.0,3860663000.0,NORTHPOINTE BANK
2193616,3845501.0,3845501000.0,RAYMOND JAMES BANK
3076220,3271099.0,3271099000.0,STIFEL BANK
249612,3226798.0,3226798000.0,APPLE BANK
107244,3057519.0,3057519000.0,BANK OZK
694904,2889636.0,2889636000.0,"FLAGSTAR BANK, NATIONAL ASSOCIATION"
917742,2886553.0,2886553000.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION"
936855,2632290.0,2632290000.0,"UMB BANK, NATIONAL ASSOCIATION"
3938186,2245505.0,2245505000.0,"BANKUNITED, NATIONAL ASSOCIATION"
276579,2033937.0,2033937000.0,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION"
3187630,1950243.0,1950243000.0,FORBRIGHT BANK
783648,1829323.0,1829323000.0,CENTIER BANK
652874,1759962.0,1759962000.0,NEXBANK
664756,1706353.0,1706353000.0,PROSPERITY BANK
814430,1687647.0,1687647000.0,CITY NATIONAL BANK OF FLORIDA
1394676,1620493.0,1620493000.0,AMERICAN EXPRESS NATIONAL BANK
3783313,1547270.0,1547270000.0,CROSS RIVER BANK
3076248,1499585.0,1499585000.0,STIFEL BANK AND TRUST
764030,1421870.0,1421870000.0,AMERIS BANK
722777,1408458.0,1408458000.0,"SANTANDER BANK, NATIONAL ASSOCIATION"
229801,1343752.0,1343752000.0,VALLEY NATIONAL BANK
766164,1180875.0,1180875000.0,"TBK BANK, SSB"
3475083,1129318.0,1129318000.0,TRISTATE CAPITAL BANK
3650808,1118723.0,1118723000.0,LIVE OAK BANKING COMPANY
682563,1017555.0,1017555000.0,FROST BANK
143662,938162.0,938162000.0,COLUMBIA BANK
667757,919968.0,919968000.0,ORIGIN BANK
468806,896273.0,896273000.0,NORTHEAST BANK
1929247,857557.0,857557000.0,"SOUTHSTATE BANK, N.A."
663245,844074.0,844074000.0,SIMMONS BANK
339858,817199.0,817199000.0,"BOKF, NATIONAL ASSOCIATION"
671464,715048.0,715048000.0,BANK OF HOPE
2119773,667240.0,667240000.0,"HINSDALE BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
316840,630876.0,630876000.0,REPUBLIC BANK & TRUST COMPANY
23504,628019.0,628019000.0,DIME COMMUNITY BANK
208244,609042.0,609042000.0,OLD NATIONAL BANK
1190476,602593.0,602593000.0,ENTERPRISE BANK & TRUST
128904,557267.0,557267000.0,EASTERN BANK
3325759,554670.0,554670000.0,PRIMIS BANK
412751,553796.0,553796000.0,WOODFOREST NATIONAL BANK
416245,495019.0,495019000.0,BUSEY BANK
137915,489883.0,489883000.0,EMIGRANT BANK
379920,481779.0,481779000.0,FIRST NATIONAL BANK OF PENNSYLVANIA
662369,478454.0,478454000.0,BANK OF THE SIERRA
474759,469686.0,469686000.0,"SUNFLOWER BANK, NATIONAL ASSOCIATION"
320119,451671.0,451671000.0,ISRAEL DISCOUNT BANK OF NEW YORK
463735,447252.0,447252000.0,HANCOCK WHITNEY BANK
2239288,446010.0,446010000.0,"WINTRUST BANK, NATIONAL ASSOCIATION"
437914,443828.0,443828000.0,"WILMINGTON SAVINGS FUND SOCIETY, FSB"
529958,442364.0,442364000.0,"TIB, NATIONAL ASSOCIATION"
940311,440000.0,440000000.0,BANCO POPULAR DE PUERTO RICO
165628,433557.0,433557000.0,FIRST FINANCIAL BANK
3150447,423000.0,423000000.0,"CHARLES SCHWAB BANK, SSB"
169653,419870.0,419870000.0,FIRST BANK
929352,417858.0,417858000.0,BELL BANK
637451,399390.0,399390000.0,PLAINSCAPITAL BANK
214807,366000.0,366000000.0,DEUTSCHE BANK TRUST COMPANY AMERICAS
601050,365575.0,365575000.0,COMMERCE BANK
85472,350265.0,350265000.0,"OCEANFIRST BANK, NATIONAL ASSOCIATION"
3637685,347542.0,347542000.0,FIRST FOUNDATION BANK
204004,334829.0,334829000.0,PROVIDENT BANK
773247,334540.0,334540000.0,MIDLAND STATES BANK
365325,330355.0,330355000.0,UNITED BANK
1917301,326750.0,326750000.0,"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
3408728,298895.0,298895000.0,B1BANK
408642,291772.0,291772000.0,BANKERS' BANK
2938198,287079.0,287079000.0,"NORTHBROOK BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
229913,285374.0,285374000.0,MIZUHO BANK (USA)
342634,285350.0,285350000.0,TRUSTMARK BANK
339773,277093.0,277093000.0,NEEDHAM BANK
489623,268886.0,268886000.0,"PARK NATIONAL BANK, THE"
17147,266592.0,266592000.0,FIRST MERCHANTS BANK
779650,257774.0,257774000.0,CHIPPEWA VALLEY BANK
595869,250738.0,250738000.0,CATHAY BANK
657365,250453.0,250453000.0,HANMI BANK
693224,247451.0,247451000.0,ATLANTIC UNION BANK
3579589,246072.0,246072000.0,STELLAR BANK
2298995,244198.0,244198000.0,"VILLAGE BANK & TRUST, NATIONAL ASSOCIATION"
749242,243396.0,243396000.0,RENASANT BANK
510871,232068.0,232068000.0,FIRSTBANK PUERTO RICO
245276,200969.0,200969000.0,ORIENTAL BANK
384278,200341.0,200341000.0,FIRST FEDERAL BANK
171768,199560.0,199560000.0,"SOUTHSTAR BANK, S.S.B."
1885932,195210.0,195210000.0,CRESCENT BANK
965789,179336.0,179336000.0,SUSSER BANK
918918,177870.0,177870000.0,SAFRA NATIONAL BANK OF NEW YORK
930358,171006.0,171006000.0,UNITED BANKERS' BANK
725732,170243.0,170243000.0,BRADESCO BANK
3212402,169986.0,169986000.0,PCB BANK
129732,167721.0,167721000.0,BYLINE BANK
3470239,164206.0,164206000.0,"AMERIPRISE BANK, FSB"
428547,161954.0,161954000.0,"ST. CHARLES BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
936426,158519.0,158519000.0,S & T BANK
934329,158000.0,158000000.0,"BNY MELLON, NATIONAL ASSOCIATION"
2693264,156774.0,156774000.0,"TOWN BANK, NATIONAL ASSOCIATION"
384652,154696.0,154696000.0,"DALLAS CAPITAL BANK, NATIONAL ASSOCIATION"
130541,150152.0,150152000.0,HORIZON BANK
3317932,148707.0,148707000.0,CONNECTONE BANK
3202702,143000.0,143000000.0,"OPTUM BANK, INC."
450856,141283.0,141283000.0,UNION BANK AND TRUST COMPANY
980661,135553.0,135553000.0,FIRST HAWAIIAN BANK
2652092,135330.0,135330000.0,EAGLEBANK
811046,135294.0,135294000.0,BANKERS TRUST COMPANY
3216017,132959.0,132959000.0,"BEVERLY BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
980960,131086.0,131086000.0,BENCHMARK BANK
474919,131079.0,131079000.0,"FULTON BANK, NATIONAL ASSOCIATION"
2044811,126738.0,126738000.0,"WHEATON BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
977250,125384.0,125384000.0,MIDWEST INDEPENDENT BANKERSBANK
871769,123690.0,123690000.0,FARMERS AND MERCHANTS BANK OF LONG BEACH
2508751,118680.0,118680000.0,"BARRINGTON BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
2736219,118331.0,118331000.0,"TRANSPORTATION ALLIANCE BANK, INC. DBA TAB BANK"
154770,118198.0,118198000.0,MUTUALONE BANK
595430,116957.0,116957000.0,"STATE BANK OF THE LAKES, NATIONAL ASSOCIATION"
3401970,115930.0,115930000.0,FIRST BANK
83638,112667.0,112667000.0,"AMERANT BANK, NATIONAL ASSOCIATION"
2797724,112285.0,112285000.0,TOWNEBANK
3357219,108670.0,108670000.0,OPEN BANK
353555,108299.0,108299000.0,AMARILLO NATIONAL BANK
659855,107723.0,107723000.0,FIRST INTERSTATE BANK
2736291,101243.0,101243000.0,POPULAR BANK
1017939,99322.0,99322000.0,UNITED COMMUNITY BANK
74140,99300.0,99300000.0,ISABELLA BANK
527954,98829.0,98829000.0,FIRST NATIONAL BANK OF OMAHA
1718469,97009.0,97009000.0,COLORADO FEDERAL SAVINGS BANK
2608754,96299.0,96299000.0,MERCANTILE BANK
